# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168	SRR7947171	SRR7947175	SRR7947187
FORMATETHFLIG-RXN	0.000577357	0.000155637	0.000377636	0.000195578
3.1.21.4-RXN	0.000560515	0.000226848	0.000832046	0.000251972
2.1.1.72-RXN	0.000557443	0.00017395	0.000810149	0.000150566
IMP-DEHYDROG-RXN	0.00054266	0.000163218	0.000194378	0.000362214
RXN-14267	0.000518093	0.000440562	0.000324907	0.000410299
RXN-16938	0.000518093	0.000440562	0.000324907	0.000410299
RXN0-5225	0.000518093	0.000440562	0.000324907	0.000410299
2.7.7.8-RXN	0.00051759	0.000178888	0.000558077	0.000828394
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	0.0005119		0.000105751	0.000843678
RXN0-6994	0.0005119		0.000105751	0.000843678
RXN0-7002	0.0005119		0.000105751	0.000843678
S-ADENMETSYN-RXN	0.000497655	0.000252587	0.000655435	0.000329423
6PFRUCTPHOS-RXN	0.000496402	9.73047e-05	0.000483905	0.000342697
F16ALDOLASE-RXN	0.000482783	0.000226878	0.000395747	0.000541179
RXN-19916	0.000482783	0.000226878	0.000395747	0.000541179
RXN-8631	0.000482783	0.000226878	0.000395747	0.000541179
SEDOBISALDOL-RXN	0.000482783	0.000226878	0.000395747	0.000541179
RIB5PISOM-RXN	0.000457422	0.000118125	0.000283288	0.000296308
PRPPSYN-RXN	0.000450901	0.000321198	0.000273501	0.000509439
RXN-11633	0.000449487		0.00016028	0.000356698
RXN-17362	0.000440251	0.000580102	0.000568312	0.000531499
ABC-27-RXN	0.000437699	0.000425711	0.000403425	0.00043111
RXN-15087	0.000436874	7.49903e-05	0.000129349	0.00047645
RXN-15162	0.000436874	7.49903e-05	0.000129349	0.00047645
RXN-15164	0.000436874	7.49903e-05	0.000129349	0.00047645
RXN-15165	0.000436874	7.49903e-05	0.000129349	0.00047645
TRANS-RXN-165	0.000436874	7.49903e-05	0.000129349	0.00047645
TRANS-RXN-167A	0.000436874	7.49903e-05	0.000129349	0.00047645
RXN-13163	0.00041567	0.000394532	0.00036761	0.000416568
RXN-14694	0.00041441	0.000191065	0.000527736	0.000436972
UDPGLUCEPIM-RXN	0.000411743	0.000152993	0.000341643	0.000606921
INORGPYROPHOSPHAT-RXN	0.000410438	0.000216279	0.000223054	0.000229953
ACETOLACTSYN-RXN	0.000407811	0.000173088	0.000328376	0.000673866
ACETOOHBUTSYN-RXN	0.000407811	0.000173088	0.000328376	0.000673866
PHENYLALANINE--TRNA-LIGASE-RXN	0.000407197	0.000159064	0.00039606	0.000207219
ALPHAGALACTOSID-RXN	0.000403063	7.38885e-05	0.000383146	0.000257352
RXN-11501	0.000403063	7.38885e-05	0.000383146	0.000257352
RXN-12088	0.000403063	7.38885e-05	0.000383146	0.000257352
RXN-17830	0.000403063	7.38885e-05	0.000383146	0.000257352
5.99.1.2-RXN	0.000398461	0.000111529	0.000404791	0.00038377
ARYLSULFAT-RXN	0.000394009	0.000148817	0.000156103	0.00014303
RXN-20165	0.000394009	0.000148817	0.000156103	0.00014303
3.1.26.4-RXN	0.000391969	0.000296855	0.000247071	0.000486917
2.4.1.129-RXN	0.000389181	8.41264e-05	0.000516686	0.000264005
RXN-11291	0.000389181	8.41264e-05	0.000516686	0.000264005
RXN-11348	0.000389181	8.41264e-05	0.000516686	0.000264005
RXN-11350	0.000389181	8.41264e-05	0.000516686	0.000264005
RXN-14712	0.000389181	8.41264e-05	0.000516686	0.000264005
RXN-15521	0.000389181	8.41264e-05	0.000516686	0.000264005
RXN-16650	0.000389181	8.41264e-05	0.000516686	0.000264005
RXN0-2584	0.000388967	0.00018562	0.000362028	0.000185351
LEUCINE--TRNA-LIGASE-RXN	0.000385468	0.000110736	0.00043154	0.000452432
PYRUVFORMLY-RXN	0.000384942	0.000122774	0.000294979	0.000414053
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	0.000384833	0.000252951	0.000231596	0.000443722
GAPOXNPHOSPHN-RXN	0.000383714	0.000162151	0.000271738	0.000356221
RXN1YI0-11	0.000383714	0.000162151	0.000271738	0.000356221
RXN-13202	0.000382969	8.63331e-05	0.000463852	0.000161155
UNDECAPRENYL-DIPHOSPHATASE-RXN	0.000380328	0.000128069	0.000715357	0.000706902
GDPPYPHOSKIN-RXN	0.00037994	8.08543e-05	0.000364891	0.000497442
GTPPYPHOSKIN-RXN	0.00037994	8.08543e-05	0.000364891	0.000497442
THREONINE--TRNA-LIGASE-RXN	0.000377779	0.000242625	0.000263483	0.00055928
3.4.21.88-RXN	0.000374886	0.000119354	0.000191847	0.000645397
BETA-LACTAMASE-RXN	0.00037373	0.000224708	0.000364185	0.000397079
RXN-20894	0.00037373	0.000224708	0.000364185	0.000397079
RXN-15561	0.000373375	0.00660978	0.000247885	0.000535471
NADH-DEHYDROG-A-RXN	0.000372383	0.000685385	0.000395173	0.000348294
NADH-PQ-DEHYDROG-RXN	0.000372383	0.000685385	0.000395173	0.000348294
RXN-21274	0.000372383	0.000685385	0.000395173	0.000348294
RXN-21415	0.000372383	0.000685385	0.000395173	0.000348294
PHOSPHOLIPASE-A2-RXN	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-15065	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-15067	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-15068	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-16138	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-16139	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-17735	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-17736	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-20543	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-20546	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-20548	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-20552	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-20554	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-20555	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-20558	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-20561	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN-20562	0.000372334	9.65881e-05	0.000570576	0.000265745
RXN0-6725	0.000372334	9.65881e-05	0.000570576	0.000265745
TRANSALDOL-RXN	0.000366355	0.000130153	0.00018549	0.000242904
3.4.21.89-RXN	0.000365399	9.9683e-05	0.000360539	0.000288949
3-OXOACYL-ACP-REDUCT-RXN	0.00036173	0.000108075	0.000277007	0.000381462
RXN-10655	0.00036173	0.000108075	0.000277007	0.000381462
RXN-10659	0.00036173	0.000108075	0.000277007	0.000381462
RXN-11476	0.00036173	0.000108075	0.000277007	0.000381462
RXN-11480	0.00036173	0.000108075	0.000277007	0.000381462
RXN-13008	0.00036173	0.000108075	0.000277007	0.000381462
RXN-16616	0.00036173	0.000108075	0.000277007	0.000381462
RXN-16622	0.00036173	0.000108075	0.000277007	0.000381462
RXN-16626	0.00036173	0.000108075	0.000277007	0.000381462
RXN-16630	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21614	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21618	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21622	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21626	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21631	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21635	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21645	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21650	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21655	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21660	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21665	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21670	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21676	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21681	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21686	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21691	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21696	0.00036173	0.000108075	0.000277007	0.000381462
RXN-21702	0.00036173	0.000108075	0.000277007	0.000381462
RXN-9514	0.00036173	0.000108075	0.000277007	0.000381462
RXN-9518	0.00036173	0.000108075	0.000277007	0.000381462
RXN-9524	0.00036173	0.000108075	0.000277007	0.000381462
RXN-9528	0.00036173	0.000108075	0.000277007	0.000381462
RXN-9532	0.00036173	0.000108075	0.000277007	0.000381462
RXN-9536	0.00036173	0.000108075	0.000277007	0.000381462
RXN-9540	0.00036173	0.000108075	0.000277007	0.000381462
RXN-9552	0.00036173	0.000108075	0.000277007	0.000381462
RXN-9556	0.00036173	0.000108075	0.000277007	0.000381462
RXN-9633	0.00036173	0.000108075	0.000277007	0.000381462
RXN0-2142	0.00036173	0.000108075	0.000277007	0.000381462
RXN1G-157	0.00036173	0.000108075	0.000277007	0.000381462
RXN1G-349	0.00036173	0.000108075	0.000277007	0.000381462
RXN1G-469	0.00036173	0.000108075	0.000277007	0.000381462
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	0.000355933	0.000152326	0.000460953	0.000192855
3PGAREARR-RXN	0.000352435	0.000123919	0.000366818	0.000344581
ABC-32-RXN	0.000351145	0.000359386	0.000366316	0.000737596
PROTEIN-TYROSINE-PHOSPHATASE-RXN	0.000349761	0.000166103	0.000511465	0.00053375
UDP-NACMUR-ALA-LIG-RXN	0.000349488	0.00017869	0.000113647	0.000330559
RXN0-302	0.000345537	0.000456261	0.000316299	0.000358579
RXN-2043	0.000339955	2.88251e-05	0.000613394	0.000240374
ALANINE--TRNA-LIGASE-RXN	0.0003331	0.000264426	0.000374167	0.000295567
MALTACETYLTRAN-RXN	0.000332583	0.000310642	0.000228788	0.000352411
TRYPSYN-RXN	0.000331051	7.1816e-05	0.000479837	0.00105081
6.3.5.7-RXN	0.000330519	4.80948e-05	9.04441e-05	3.16007e-05
CTPSYN-RXN	0.000328715		0.000293228	0.000453872
3-DEHYDROQUINATE-DEHYDRATASE-RXN	0.000327153	0.000202338	0.000206554	0.000312525
CYSTEINE--TRNA-LIGASE-RXN	0.000325656	0.000161164	0.000238092	0.000211137
NACGLCTRANS-RXN	0.000323998		0.000266873	9.36548e-05
RXN-11029	0.000323998		0.000266873	9.36548e-05
RXN-11346	0.000323998		0.000266873	9.36548e-05
RXN-8976	0.000323998		0.000266873	9.36548e-05
ADENYLOSUCCINATE-SYNTHASE-RXN	0.000319004	0.000161378	0.000250252	0.000247487
GALPMUT-RXN	0.00031831		3.47113e-05	0.000185106
PGLUCISOM-RXN	0.000315049		0.00030563	0.000196149
ACETYLGLUTKIN-RXN	0.000314548	0.000117584	0.000277972	0.000355824
RXN-15005	0.000314548	0.000117584	0.000277972	0.000355824
LYSINE--TRNA-LIGASE-RXN	0.000314535	0.00029204	0.000342888	0.000167852
L-IDITOL-2-DEHYDROGENASE-RXN	0.00030397	0.000202602	0.000105018	0.000323083
RXN-7644	0.00030397	0.000202602	0.000105018	0.000323083
GLYCINE--TRNA-LIGASE-RXN	0.00030207	5.0841e-05	0.00026339	0.000512136
PROLINE--TRNA-LIGASE-RXN	0.000299712	8.26593e-05	0.0003098	0.000911016
GTP-CYCLOHYDRO-I-RXN	0.000297735		0.000243342	0.00010238
MALTODEXGLUCOSID-RXN	0.000297719	1.63924e-05	0.00030565	3.15294e-05
RXN-14281	0.000297719	1.63924e-05	0.00030565	3.15294e-05
RXN-14282	0.000297719	1.63924e-05	0.00030565	3.15294e-05
RXN-14283	0.000297719	1.63924e-05	0.00030565	3.15294e-05
RXN-15910	0.000297719	1.63924e-05	0.00030565	3.15294e-05
RXN0-5183	0.000297719	1.63924e-05	0.00030565	3.15294e-05
RXN-13997	0.000296899	8.63331e-05	0.000334986	0.000446741
3.6.3.31-RXN	0.000296458	0.000312337	0.00022484	0.000296946
ABC-24-RXN	0.000296458	0.000312337	0.00022484	0.000296946
2.3.1.180-RXN	0.000295964	3.76777e-05	0.000401044	0.000231231
2-ISOPROPYLMALATESYN-RXN	0.00028868	0.000211651	0.000394113	0.000403391
RXN-12588	0.000286772	0.0010936	0.00015646	0.000306961
RXN-14385	0.000286772	0.0010936	0.00015646	0.000306961
RXN-15881	0.000286772	0.0010936	0.00015646	0.000306961
RXN-20037	0.000286772	0.0010936	0.00015646	0.000306961
RXN-21560	0.000286772	0.0010936	0.00015646	0.000306961
RXN-21566	0.000286772	0.0010936	0.00015646	0.000306961
RXN-9787	0.000286772	0.0010936	0.00015646	0.000306961
ASPARAGINE--TRNA-LIGASE-RXN	0.000285594	2.11046e-05	0.00046512	0.000415389
CYTIDINEKIN-RXN	0.000285026	4.78424e-05	0.000276447	6.56037e-05
URIDINEKIN-RXN	0.000285026	4.78424e-05	0.000276447	6.56037e-05
URKI-RXN	0.000285026	4.78424e-05	0.000276447	6.56037e-05
FRUCTOKINASE-RXN	0.000281185	0.000137621	0.000202864	0.000154392
RXN-19915	0.000281185	0.000137621	0.000202864	0.000154392
PYFLAVOXRE-RXN	0.000280729	4.1207e-05	0.00019041	0.000147422
PYRUFLAVREDUCT-RXN	0.000280729	4.1207e-05	0.00019041	0.000147422
RXN0-1342	0.000280111		0.000516994	0.000348103
RXN-16820	0.000279428	4.86299e-05	0.000172117	0.000270214
RXN-18693	0.000279428	4.86299e-05	0.000172117	0.000270214
RXN0-2023	0.000279428	4.86299e-05	0.000172117	0.000270214
AICARTRANSFORM-RXN	0.000279061	0.000106804	0.000186734	0.000199656
SHIKIMATE-5-DEHYDROGENASE-RXN	0.000278751	0.000235148	0.000155879	7.19789e-05
DEOXYRIBOSE-P-ALD-RXN	0.000275888	0.000194569	0.000100466	6.61974e-05
RXN-15878	0.000275682	6.80251e-05	0.000286203	0.000187468
THIAZOLSYN2-RXN	0.000275669		8.61957e-05	
LUMAZINESYN-RXN	0.00027414		0.000162284	5.13737e-05
PRPPAMIDOTRANS-RXN	0.000273948	0.000109947	9.39948e-05	0.000194597
DIHYDROXYISOVALDEHYDRAT-RXN	0.000273069	9.53086e-05	0.000318274	0.000296012
DIHYDROXYMETVALDEHYDRAT-RXN	0.000273069	9.53086e-05	0.000318274	0.000296012
SAICARSYN-RXN	0.000272314	5.13434e-05	0.000195654	0.000241139
TRIOSEPISOMERIZATION-RXN	0.000270558	0.000159293	0.000154549	0.000162791
GLUCOSAMINE-6-P-DEAMIN-RXN	0.000270445	0.000139302	0.000296638	0.000121518
URACIL-PRIBOSYLTRANS-RXN	0.000269593	0.000266312	0.000247453	0.00016241
3.2.1.52-RXN	0.000269488	0.000190892	0.000394833	2.61178e-05
RXN-12625	0.000269488	0.000190892	0.000394833	2.61178e-05
RXN-12626	0.000269488	0.000190892	0.000394833	2.61178e-05
RXN-18082	0.000269488	0.000190892	0.000394833	2.61178e-05
RXN-21432	0.000269488	0.000190892	0.000394833	2.61178e-05
RXN0-5226	0.000269488	0.000190892	0.000394833	2.61178e-05
GLURS-RXN	0.000268187	0.000402924	0.000536211	0.000646014
PHOSGLYPHOS-RXN	0.000268025	7.34556e-05	0.000364537	0.000189245
2.1.1.63-RXN	0.000267709	0.000481951	0.000259148	8.2567e-05
RXN-17824	0.000267709	0.000481951	0.000259148	8.2567e-05
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	0.000266828	9.45479e-05	0.000199485	0.000566852
GALACTUROISOM-RXN	0.000266063	9.8216e-05	0.000211337	0.000306788
GLUCUROISOM-RXN	0.000266063	9.8216e-05	0.000211337	0.000306788
RXN0-4522	0.00026436	0.000208958	0.000133695	0.000281464
TRANS-RXN0-202	0.00026436	0.000208958	0.000133695	0.000281464
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	0.000264218	0.000110806	0.000190141	0.00021522
GLYCOPHOSPHORYL-RXN	0.000263686	2.68754e-05	0.000127936	0.000338476
GLYMALTOPHOSPHORYL-RXN	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN-12171	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN-12392	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN-14284	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN-14285	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN-14286	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN-14353	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN-1826	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN-21092	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN-9025	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN0-5182	0.000263686	2.68754e-05	0.000127936	0.000338476
RXN0-5184	0.000263686	2.68754e-05	0.000127936	0.000338476
METHYLMALONYL-COA-MUT-RXN	0.000263638		0.000361649	0.000130928
GLYCOLALDREDUCT-RXN	0.000262333	5.77932e-05	0.000196828	0.000258052
LACTALDREDUCT-RXN	0.000262333	5.77932e-05	0.000196828	0.000258052
RXN-8641	0.000262333	5.77932e-05	0.000196828	0.000258052
HISTIDINE--TRNA-LIGASE-RXN	0.000259146	0.000107128	0.000372695	0.000365585
RNA-DIRECTED-DNA-POLYMERASE-RXN	0.000256848	0.0024386	0.000339622	8.68857e-05
RXN0-6274	0.00025458	8.60145e-05	0.000404739	0.000159346
PYRIMSYN1-RXN	0.000254298	0.000221876	0.000192226	4.20749e-05
3.5.1.27-RXN	0.000253908	0.000118525	0.000235944	0.000431287
3.5.1.88-RXN	0.000253908	0.000118525	0.000235944	0.000431287
RXN0-6481	0.000253762	0.000161874	4.92447e-05	0.000266478
RXN0-6482	0.000253762	0.000161874	4.92447e-05	0.000266478
TRNA-NUCLEOTIDYLTRANSFERASE-RXN	0.000253762	0.000161874	4.92447e-05	0.000266478
NUCLEOTIDE-PYROPHOSPHATASE-RXN	0.000253485	0.000137657	0.000171956	0.000385081
RXN-14139	0.000253485	0.000137657	0.000171956	0.000385081
RXN-14140	0.000253485	0.000137657	0.000171956	0.000385081
RXN0-384	0.000253485	0.000137657	0.000171956	0.000385081
RXN0-385	0.000253485	0.000137657	0.000171956	0.000385081
RXN0-5107	0.000253485	0.000137657	0.000171956	0.000385081
METHIONINE--TRNA-LIGASE-RXN	0.00025323	6.53256e-05	0.000201546	0.000465675
RXN-16165	0.00025323	6.53256e-05	0.000201546	0.000465675
N-ACETYLGLUTPREDUCT-RXN	0.000253212	3.78408e-05	0.000154561	0.000483428
RXN-15006	0.000253212	3.78408e-05	0.000154561	0.000483428
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	0.000252976	0.000135732	0.000200525	0.000504647
VALINE--TRNA-LIGASE-RXN	0.000252372	0.000130993	0.00047906	0.000580238
SHIKIMATE-KINASE-RXN	0.000250844	0.000185845	0.000196858	0.000233012
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	0.000250579	0.000226543	0.000395364	0.000224624
RXN-15043	0.000250579	0.000226543	0.000395364	0.000224624
RXN-16025	0.000250579	0.000226543	0.000395364	0.000224624
RXN-16032	0.000250579	0.000226543	0.000395364	0.000224624
RXN-16067	0.000250579	0.000226543	0.000395364	0.000224624
RXN-16076	0.000250579	0.000226543	0.000395364	0.000224624
RXN-16077	0.000250579	0.000226543	0.000395364	0.000224624
RXN-16118	0.000250579	0.000226543	0.000395364	0.000224624
RXN-1623	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17008	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17009	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17010	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17011	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17012	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17013	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17014	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17015	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17019	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17020	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17021	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17022	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17023	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17024	0.000250579	0.000226543	0.000395364	0.000224624
RXN-17729	0.000250579	0.000226543	0.000395364	0.000224624
RXN-20512	0.000250579	0.000226543	0.000395364	0.000224624
RXN-20528	0.000250579	0.000226543	0.000395364	0.000224624
RXN-20565	0.000250579	0.000226543	0.000395364	0.000224624
RXN0-5514	0.000250579	0.000226543	0.000395364	0.000224624
RXN0-6705	0.000250579	0.000226543	0.000395364	0.000224624
RXN0-5063	0.000250117	0.000108925	0.00010986	0.00028845
AMINOCYL-TRNA-HYDROLASE-RXN	0.000248953	0.000298541	0.000195985	8.86865e-05
RXN-12460	0.000248953	0.000298541	0.000195985	8.86865e-05
RXN-16637	0.000248953	0.000298541	0.000195985	8.86865e-05
PHOSNACMURPENTATRANS-RXN	0.000248087		0.000546027	0.000254937
RXN-11347	0.000248087		0.000546027	0.000254937
RXN-8975	0.000248087		0.000546027	0.000254937
ADENYL-KIN-RXN	0.000247742	9.41824e-05	0.000167952	0.000192815
FMNREDUCT-RXN	0.000247262	7.19442e-05	0.000216439	0.000118837
DXPREDISOM-RXN	0.000246967	9.98048e-05	0.000252669	0.0005008
3.4.21.92-RXN	0.000246328	0.000123017	0.000205388	0.000449035
GLYCOGEN-BRANCH-RXN	0.000243513	0.000122408	0.000227922	0.000198882
RXN-14371	0.000243513	0.000122408	0.000227922	0.000198882
RXN-14372	0.000243513	0.000122408	0.000227922	0.000198882
RXN-18777	0.000243513	0.000122408	0.000227922	0.000198882
RXN-7669	0.000243513	0.000122408	0.000227922	0.000198882
RXN-7710	0.000243513	0.000122408	0.000227922	0.000198882
GLYC3PDEHYDROGBIOSYN-RXN	0.000241932	0.00016683	0.000226502	0.000341046
GLYCOGENSYN-RXN	0.000241334		0.000272631	0.000250024
5.4.2.10-RXN	0.000239668	0.000379377	0.00033408	0.00014261
RIBOPHOSPHAT-RXN	0.000237589		0.000128884	
RXN-16702	0.000237587	0.000158321	0.000237268	0.000211196
GUANYL-KIN-RXN	0.000237336		0.000432875	0.000186654
DXS-RXN	0.000236361	0.000581097	0.000182327	0.000288111
GLUTAMIDOTRANS-RXN	0.000236138	0.000115396	6.90882e-05	0.000191308
ALPHA-L-FUCOSIDASE-RXN	0.000235556		9.7787e-05	9.12327e-05
RXN-19378	0.000235556		9.7787e-05	9.12327e-05
RXN-19379	0.000235556		9.7787e-05	9.12327e-05
RXN-21816	0.000235556		9.7787e-05	9.12327e-05
RXN197R-54	0.000235556		9.7787e-05	9.12327e-05
GLUTDEHYD-RXN	0.00023473		0.000296433	0.000186833
FUMHYDR-RXN	0.000232327	7.71852e-05	0.000113381	0.000400271
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	0.000230702		0.000310982	0.000216283
TRYPTOPHAN--TRNA-LIGASE-RXN	0.000229707		0.000361354	0.000401523
DTDPGLUCOSEPP-RXN	0.000228631		0.000287434	0.00016733
BTUR2-RXN	0.000227956		0.000354401	0.000230984
RXN-19335	0.000227956		0.000354401	0.000230984
RXN-19339	0.000227956		0.000354401	0.000230984
RXN-19368	0.000227956		0.000354401	0.000230984
RXN-19369	0.000227956		0.000354401	0.000230984
3.1.26.3-RXN	0.000227899		0.000236335	0.000226057
2.7.7.60-RXN	0.000227387		6.3472e-05	0.000239511
ACETYLHOMOSER-CYS-RXN	0.000225972		0.000286268	0.000191073
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	0.000225972		0.000286268	0.000191073
2.7.3.9-RXN	0.000224278	8.15574e-05	0.000116232	0.000261524
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	0.000222987	4.33808e-05	0.000201284	9.86898e-05
DIHYDROFOLATEREDUCT-RXN	0.000222456		0.000133165	0.000297018
RXN-18357	0.000222456		0.000133165	0.000297018
RXN-19329	0.000222456		0.000133165	0.000297018
RXN0-5189	0.000222355		0.000176495	
3.4.21.53-RXN	0.000221736	1.09948e-05	0.000186874	0.000137516
RXN-11475	0.000219597		0.000309068	0.00017891
4.3.1.17-RXN	0.000219282	5.81779e-05	0.000227789	0.000230226
3.6.3.52-RXN	0.000218522	4.04218e-05	0.0001497	0.000193457
GLUC1PADENYLTRANS-RXN	0.000218433	0.000116017	5.8379e-05	0.00021705
2.3.1.128-RXN	0.000217768			0.000107559
FGAMSYN-RXN	0.000217049	0.000134128	0.000163722	0.000273816
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	0.000215882		0.000248479	0.000378227
GLUTRACE-RXN	0.000214487	5.93631e-05	0.000102084	0.00028387
3.4.16.4-RXN	0.000211789	0.000261436	0.000129699	0.000333947
RXN-11065	0.000211789	0.000261436	0.000129699	0.000333947
RXN-11302	0.000211789	0.000261436	0.000129699	0.000333947
RXN-11351	0.000211789	0.000261436	0.000129699	0.000333947
RXN-16649	0.000211789	0.000261436	0.000129699	0.000333947
RXN-16659	0.000211789	0.000261436	0.000129699	0.000333947
RXN-19249	0.000211789	0.000261436	0.000129699	0.000333947
RXN-19253	0.000211789	0.000261436	0.000129699	0.000333947
RXN-19256	0.000211789	0.000261436	0.000129699	0.000333947
GALACTOACETYLTRAN-RXN	0.000211684	0.000111353	0.000141162	8.37072e-05
