# ResFinder phenotype results.
# Sample: ERR13731530_merged.fastq.gz
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
doxycycline	tetracycline	Resistant	3	tet(40) (tet(40)_FJ158002), tet(A) (tet(A)_AJ517790), tet(M) (tet(M)_AM990992), tet(L) (tet(L)_M29725), tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_X58717), tet(Q) (tet(Q)_U73497), tet(X) (tet(X)_GU014535), tet(W) (tet(W)_AJ427422), tet(O/32/O) (tet(O/32/O)_FP929050)
minocycline	tetracycline	Resistant	3	tet(M) (tet(M)_AM990992), tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_X58717), tet(Q) (tet(Q)_U73497), tet(X) (tet(X)_GU014535), tet(W) (tet(W)_AJ427422), tet(O/32/O) (tet(O/32/O)_FP929050)
tigecycline	tetracycline	Resistant	1	tet(X) (tet(X)_GU014535)
quinupristin	streptogramin b	Resistant	3	erm(F) (erm(F)_M17808), erm(T) (erm(T)_AY894138), msr(C) (msr(C)_AY004350), msr(D) (msr(D)_AF274302), erm(B) (erm(B)_X72021)
pristinamycin ia	streptogramin b	Resistant	3	erm(F) (erm(F)_M17808), erm(T) (erm(T)_AY894138), msr(C) (msr(C)_AY004350), msr(D) (msr(D)_AF274302), erm(B) (erm(B)_X72021)
virginiamycin s	streptogramin b	Resistant	3	erm(F) (erm(F)_M17808), erm(T) (erm(T)_AY894138), msr(C) (msr(C)_AY004350), msr(D) (msr(D)_AF274302), erm(B) (erm(B)_X72021)
linezolid	oxazolidinone	Resistant	2	cfr(C) (cfr(C)_CANB01000378)
chloramphenicol	amphenicol	Resistant	2	cfr(C) (cfr(C)_CANB01000378), OqxA (OqxA_EU370913), OqxB (OqxB_EU370913)
florfenicol	amphenicol	Resistant	2	cfr(C) (cfr(C)_CANB01000378)
colistin	polymyxin	No resistance	0	
fusidic acid	steroid antibacterial	No resistance	0	
mupirocin	pseudomonic acid	No resistance	0	
rifampicin	rifamycin	No resistance	0	
metronidazole	nitroimidazole	No resistance	0	
narasin	ionophores	No resistance	0	
salinomycin	ionophores	No resistance	0	
maduramicin	ionophores	No resistance	0	
