# ResFinder phenotype results.
# Sample: ERR13731454_merged.fastq.gz
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	Resistant	3	aac(6')-aph(2'') (aac(6')-aph(2'')_M13771)
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	Resistant	3	aac(6')-aph(2'') (aac(6')-aph(2'')_M13771)
spectinomycin	aminocyclitol	Resistant	1	aadA1 (aadA1_JX185132)
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	No resistance	0	
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	No resistance	0	
amoxicillin	beta-lactam	Resistant	3	blaTEM-1B (blaTEM-1B_AY458016)
amoxicillin+clavulanic acid	beta-lactam	No resistance	0	
ampicillin	beta-lactam	Resistant	3	blaTEM-1B (blaTEM-1B_AY458016), cfxA (cfxA_U38243)
ampicillin+clavulanic acid	beta-lactam	No resistance	0	
cefepime	beta-lactam	No resistance	0	
cefixime	beta-lactam	No resistance	0	
cefotaxime	beta-lactam	No resistance	0	
cefoxitin	beta-lactam	Resistant	2	cfxA (cfxA_U38243)
ceftazidime	beta-lactam	No resistance	0	
ertapenem	beta-lactam	No resistance	0	
imipenem	beta-lactam	No resistance	0	
meropenem	beta-lactam	No resistance	0	
piperacillin	beta-lactam	Resistant	3	blaTEM-1B (blaTEM-1B_AY458016)
piperacillin+tazobactam	beta-lactam	No resistance	0	
unknown beta-lactam	beta-lactam	No resistance	0	
aztreonam	beta-lactam	No resistance	0	
cefotaxime+clavulanic acid	beta-lactam	No resistance	0	
temocillin	beta-lactam	No resistance	0	
ticarcillin	beta-lactam	Resistant	3	blaTEM-1B (blaTEM-1B_AY458016)
ceftazidime+avibactam	beta-lactam	No resistance	0	
penicillin	beta-lactam	No resistance	0	
ceftriaxone	beta-lactam	No resistance	0	
ticarcillin+clavulanic acid	beta-lactam	No resistance	0	
cephalothin	beta-lactam	Resistant	3	blaTEM-1B (blaTEM-1B_AY458016)
piperacillin+clavulanic acid	beta-lactam	No resistance	0	
ceftiofur	under_development	No resistance	0	
sulfamethoxazole	folate pathway antagonist	Resistant	3	sul1 (sul1_EU780013), sul2 (sul2_AY034138)
trimethoprim	folate pathway antagonist	Resistant	2	dfrA1 (dfrA1_AF203818)
fosfomycin	fosfomycin	No resistance	0	
vancomycin	glycopeptide	No resistance	0	
teicoplanin	glycopeptide	No resistance	0	
bleomycin	glycopeptide	No resistance	0	
lincomycin	lincosamide	Resistant	3	erm(B) (erm(B)_U18931), erm(F) (erm(F)_M17808), lnu(C) (lnu(C)_AY928180)
clindamycin	lincosamide	Resistant	3	erm(B) (erm(B)_U18931), erm(F) (erm(F)_M17808)
dalfopristin	streptogramin a	No resistance	0	
pristinamycin iia	streptogramin a	No resistance	0	
virginiamycin m	streptogramin a	No resistance	0	
quinupristin+dalfopristin	streptogramin a	No resistance	0	
tiamulin	pleuromutilin	No resistance	0	
carbomycin	macrolide	No resistance	0	
erythromycin	macrolide	Resistant	3	erm(B) (erm(B)_U18931), erm(F) (erm(F)_M17808)
azithromycin	macrolide	No resistance	0	
oleandomycin	macrolide	No resistance	0	
spiramycin	macrolide	No resistance	0	
tylosin	macrolide	No resistance	0	
telithromycin	macrolide	No resistance	0	
tetracycline	tetracycline	Resistant	3	tet(32) (tet(32)_EU722333), tet(40) (tet(40)_FJ158002), tet(B) (tet(B)_AF326777), tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_Z21523), tet(W) (tet(W)_AJ427422), tet(O/32/O) (tet(O/32/O)_FP929050)
doxycycline	tetracycline	Resistant	3	tet(32) (tet(32)_EU722333), tet(40) (tet(40)_FJ158002), tet(B) (tet(B)_AF326777), tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_Z21523), tet(W) (tet(W)_AJ427422), tet(O/32/O) (tet(O/32/O)_FP929050)
minocycline	tetracycline	Resistant	3	tet(32) (tet(32)_EU722333), tet(B) (tet(B)_AF326777), tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_Z21523), tet(W) (tet(W)_AJ427422), tet(O/32/O) (tet(O/32/O)_FP929050)
tigecycline	tetracycline	No resistance	0	
quinupristin	streptogramin b	Resistant	3	erm(B) (erm(B)_U18931), erm(F) (erm(F)_M17808)
pristinamycin ia	streptogramin b	Resistant	3	erm(B) (erm(B)_U18931), erm(F) (erm(F)_M17808)
virginiamycin s	streptogramin b	Resistant	3	erm(B) (erm(B)_U18931), erm(F) (erm(F)_M17808)
linezolid	oxazolidinone	No resistance	0	
chloramphenicol	amphenicol	No resistance	0	
florfenicol	amphenicol	No resistance	0	
colistin	polymyxin	No resistance	0	
fusidic acid	steroid antibacterial	No resistance	0	
mupirocin	pseudomonic acid	No resistance	0	
rifampicin	rifamycin	No resistance	0	
metronidazole	nitroimidazole	No resistance	0	
narasin	ionophores	No resistance	0	
salinomycin	ionophores	No resistance	0	
maduramicin	ionophores	No resistance	0	
