name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Limosilactobacillus fermentum	1613	S	174	44	218	0.00316
Limosilactobacillus vaginalis	1633	S	105	20	125	0.00181
Limosilactobacillus reuteri	1598	S	11	174	185	0.00269
Weissella confusa	1583	S	198	20	218	0.00316
Megamonas funiformis	437897	S	1219	54	1273	0.01848
Megamonas hypermegale	158847	S	14	0	14	0.00020
Phascolarctobacterium faecium	33025	S	656	5	661	0.00959
Megasphaera hexanoica	1675036	S	499	76	575	0.00835
Megasphaera elsdenii	907	S	75	9	84	0.00122
Megasphaera stantonii	2144175	S	13	2	15	0.00022
[Clostridium] innocuum	1522	S	35	11	46	0.00067
Collinsella aerofaciens	74426	S	416	38	454	0.00659
Collinsella stercoris	147206	S	40	0	40	0.00058
Eggerthella lenta	84112	S	92	20	112	0.00163
Bifidobacterium dentium	1689	S	16	36	52	0.00075
Klebsiella pneumoniae	573	S	97	772	869	0.01261
Escherichia coli	562	S	35	394	429	0.00623
Campylobacter jejuni	197	S	14	38	52	0.00075
Homo sapiens	9606	S	1053	38	1091	0.01584
