Pathway	Taxa	Abundance	Relative Contribution
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	30.8299945805	0.007333281316526007
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Coprococcus.s__Coprococcus_comes	28.4302641068	0.006762476848768722
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	27.2649745833	0.00648529886001776
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	24.7443796065	0.005885745331014287
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Paraprevotella.s__Paraprevotella_clara	19.4388443972	0.004623760606270309
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	18.2174007083	0.004333225680627981
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bifidobacterium.s__Bifidobacterium_adolescentis	12.723082757	0.0030263367327847627
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	10.0579352494	0.0023923996630834687
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bifidobacterium.s__Bifidobacterium_catenulatum	9.1197474625	0.002169240526577546
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	8.3885476858	0.0019953159529899267
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	8.1323137717	0.0019343676654375711
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Streptococcus.s__Streptococcus_salivarius	7.4033908219	0.0017609846622392402
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	6.9269584856	0.0016476595579725186
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Turicibacter.s__Turicibacter_sanguinis	5.887505638	0.0014004133209739517
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_caccae	5.5918029788	0.001330076922428816
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	5.1635257523	0.0012282060844309233
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	5.1019878057	0.0012135685510742166
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Streptococcus.s__Streptococcus_parasanguinis	1.859360539	0.00044227104437957683
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_plebeius	788.923308709	0.19784142196903037
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_coprocola	713.6404578521	0.17896244336744196
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	417.2787399144	0.10464264187757835
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|unclassified	332.5545663002	0.08339602538400091
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_intestinalis	323.4261858409	0.08110686527121691
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_massiliensis	176.9180639945	0.04436644343790129
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	100.8356010809	0.02528694295468668
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	95.2907609288	0.023896441434231443
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	60.9276952275	0.01527907938330482
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Haemophilus.s__Haemophilus_parainfluenzae	34.5478001189	0.008663688632308042
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	29.9885560428	0.007520348942426711
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp_CAG_52	27.3214939191	0.006851519213088369
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Blautia.s__Blautia_obeum	25.1978575855	0.00631896652089824
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	19.3346202619	0.0048486192810110905
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Collinsella.s__Collinsella_aerofaciens	17.5064305036	0.0043901568963679435
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_lactaris	13.7632171271	0.0034514564562046052
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_hallii	12.6999735396	0.0031848226517164637
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Intestinibacter.s__Intestinibacter_bartlettii	12.1040466806	0.0030353797136354116
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Agathobaculum.s__Agathobaculum_butyriciproducens	9.1840398461	0.0023031180376023924
PWY-1042: glycolysis IV	PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_salivarius	7.9897101873	0.0020036112599620642
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_plebeius	974.0587217652	0.2750456592679136
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_coprocola	841.6871472135	0.23766780290528616
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|unclassified	295.682038066	0.08349194897219676
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Roseburia.s__Roseburia_intestinalis	214.0300562158	0.06043582034596641
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	170.5439848769	0.04815662722021313
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_massiliensis	149.3137402175	0.04216182782230645
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	107.4962691378	0.030353798547449733
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Prevotella.s__Prevotella_sp_CAG_279	73.2290391221	0.020677736252280036
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Dorea.s__Dorea_longicatena	53.5281703059	0.015114787807156837
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Eubacterium.s__Eubacterium_sp_CAG_252	50.8662580302	0.014363141730361332
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_vulgatus	48.1089968168	0.013584571905701153
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_obeum	46.7495895284	0.013200715095534717
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Haemophilus.s__Haemophilus_parainfluenzae	44.0993294936	0.012452359270352051
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_stercoris	26.2859416156	0.007422380170302876
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Oscillibacter.s__Oscillibacter_sp_57_20	21.2985548895	0.006014088206530611
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Anaerostipes.s__Anaerostipes_hadrus	20.3420964517	0.005744012352058182
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_sp_CAG_52	15.6738364214	0.004425832422062726
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Clostridium.s__Clostridium_sp_CAG_221	14.8872123048	0.004203712806569523
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Ruminococcus.s__Ruminococcus_lactaris	11.9243125842	0.003367076689272289
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Streptococcus.s__Streptococcus_parasanguinis	9.8416570641	0.002778995757646541
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Agathobaculum.s__Agathobaculum_butyriciproducens	9.0716042953	0.0025615554055065256
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Eubacterium.s__Eubacterium_eligens	8.7838018682	0.0024802884279292673
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Clostridium.s__Clostridium_sp_AM22_11AC	7.1642032298	0.0020229611998121896
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Gemmiger.s__Gemmiger_formicilis	6.9922537878	0.001974407712656987
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Streptococcus.s__Streptococcus_salivarius	6.7488741512	0.0019056844302662477
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_ovatus	6.1436391765	0.0017347837967534275
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_uniformis	3.5739128901	0.0010091683438163408
PWY-6609: adenine and adenosine salvage III	PWY-6609: adenine and adenosine salvage III|g__Streptococcus.s__Streptococcus_pneumoniae	2.3339119583	0.0006590283921287351
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_plebeius	800.0351716966	0.23105367933226476
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_coprocola	686.8306807721	0.1983597240283084
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	393.2019306399	0.113558448439505
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Roseburia.s__Roseburia_intestinalis	339.3171555339	0.0979962881886873
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	281.4137233491	0.08127352208342661
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_massiliensis	120.3424067106	0.034755416804011154
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_sp_CAG_252	106.7490686235	0.030829600926727502
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	98.0032167896	0.028303760417950758
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Prevotella.s__Prevotella_sp_CAG_279	79.1417895267	0.02285649719662374
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Blautia_obeum	54.4628942846	0.015729123614471815
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_vulgatus	52.3231393772	0.015111152978036432
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Haemophilus.s__Haemophilus_parainfluenzae	46.5963121349	0.013457220061027796
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Dorea.s__Dorea_longicatena	38.1995494411	0.0110321980325986
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Blautia_sp_CAG_52	31.7006418496	0.009155284912051549
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	24.79130826	0.007159838956562353
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_stercoris	24.4866717949	0.007071858604435005
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Anaerostipes.s__Anaerostipes_hadrus	17.4351456561	0.005035346814806766
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bifidobacterium.s__Bifidobacterium_adolescentis	16.2490746201	0.004692804278537925
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Intestinibacter.s__Intestinibacter_bartlettii	15.2695951159	0.0044099262860666415
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Blautia_wexlerae	13.2348677735	0.0038222880727334777
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bifidobacterium.s__Bifidobacterium_longum	12.5269821234	0.0036178475808795216
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Barnesiella.s__Barnesiella_intestinihominis	11.4970187132	0.0033203896141258227
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_hallii	10.9258557819	0.0031554352453132557
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Ruminococcus.s__Ruminococcus_lactaris	10.8745639511	0.003140621938792124
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bifidobacterium.s__Bifidobacterium_catenulatum	9.0625536146	0.002617305377160763
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_sp_CAG_221	8.2241663402	0.0023751754417422094
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Turicibacter.s__Turicibacter_sanguinis	6.5837795068	0.0019014245032909576
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Parabacteroides.s__Parabacteroides_merdae	6.3832155331	0.0018435007448059258
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Streptococcus.s__Streptococcus_salivarius	4.7535291668	0.0013728401483564959
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_thetaiotaomicron	3.7692151579	0.0010885659296464146
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Streptococcus.s__Streptococcus_pneumoniae	1.6162664018	0.0004667848516272896
